Id Comisión,Nombre del evento o actividad principal a la que se asiste,URL del evento,Fecha de inicio de participacion en el evento o actividad,Fecha de fin de participacion en el evento o actividad
2013.N.0006,REUNION DE LA REGION NORTE DE LA COMAIP; REUNION DE LA COMISION DE GESTION DOCUMENTAL; TECNOLOGIAS DE LA INFORMACION Y GOBIERNO ABIERTO DE LA COMAIP Y EN EL PRIMER FORO NACIONAL DE ANALISIS Y REFLEXION SOBRE LA REFORMA CONSTITUCIONAL EN MATERIA DE TRANSPARENCIA Y ACCESO A LA INFORMACION PUBLICA EN México,No disponible,31/01/13,2/2/2013
2013.N.0013,FORO NACIONAL DE ANALIS Y REFLEXION SOBRE LA REFORMA CONSTITUCIONAL EN MATERIA DE TRANSPARENCIA Y ACCESO A LA INFORMACION PUBLICA EN México,No disponible,28/02/13,28/02/13
2013.N.0011,1era JORNADA DE CAPACITACION PARA PRESIDENTES MUNICIPALES SOBRE LA IMPORTANCIA DE LA RENDICION DE CUENTAS Y LA TRANSPARENCIA EN LOS MUNICIPIOS,No disponible,21/02/13,21/02/13
2013.N.0007,REUNION DE LA REGION NORTE DE LA COMAIP; REUNION DE LA COMISION DE GESTION DOCUMENTAL; TECNOLOGIAS DE LA INFORMACION Y GOBIERNO ABIERTO DE LA COMAIP Y EN EL PRIMER FORO NACIONAL DE ANALISIS Y REFLEXION SOBRE LA REFORMA CONSTITUCIONAL EN MATERIA DE TRANSPARENCIA Y ACCESO A LA INFORMACION PUBLICA EN México,No disponible,31/01/13,2/2/2013
2013.N.0009,SEGUIMIENTO AL EXPEDIENTE DEL AMPARO EN REVISION INSTAURADA POR EL SINDICATO DE TRABAJADORES PETROLEROS DE LA REPUBLICA MEXICANA,No disponible,7/2/2013,8/2/2013
2013.N.0001,IMPARTIR CONFERENCIA MAGISTRAL EN EL MARCO DEL DIA INTERNACIONAL DE LA PROTECCION DE DATOS PERSONALES.,No disponible,28/01/13,28/01/13
2013.N.0010,2do FORO NACIONAL DE TRANSPARENCIA Y DATOS PERSONALES DE SALUD,No disponible,14/02/13,15/02/13
2013.N.0012,Reunión ordinaria de la COMAIP,No disponible,26/02/13,26/02/13
2013.N.0008,SEGUIMIENTO AL JUICIO CONTENCIOSO ADMINISTRATIVO FEDERAL INTERPUESTO POR OPERADORA OCEANICA INTERNACIONAL; S.A. DE C.V. EN CONTRA DE ESTE INSTITUTO.,No disponible,7/2/2013,7/2/2013
2013.N.0003,TALLER DE CAPACITACION SOBRE EL DERECHO DE PROTECCION DE DATOS PERSONALES EN POSESION DE PARTICULARES A INTEGRANTES DE ORGANIZACIONES DE LA SOCIEDAD CIVIL EN SALTILLO,No disponible,28/01/13,29/01/13
2013.N.0004,Notificación de oficios,No disponible,29/01/13,30/01/13
2012.I.0001,"X ENCUENTRO IBEROAMERICANO DE PROTECCION DE DATOS PERSONALES Y ""34A. CONFERENCIA INTERNACIONAL DE AUTORIDADES DE PROTECCION DE DATOS Y PRIVACIDAD""",No disponible,No aplica,No aplica
2013.N.0002,"CONFERENCIA MAGISTRAL ""LA PROTECCION DE LOS DATOS PERSONALES. EL NUEVO RETO""",No disponible,28/01/13,28/01/13
2013.I.0013,"V Encuentro RTA y IV Seminario Internacional de Transparencia ""DEL DICHO AL HECHO: como pasar del discurso publico a la acción.""",No disponible,23/04/13,25/04/13
2013.I.0006,CURSAR EL SEGUNDO SEMESTRE DE LA MAESTRIA DE GESTION DOCUMENTAL Y ADMINISTRACION DE ARCHIVOS,No disponible,3/3/2013,16/03/13
2013.N.0016,"Primer foro ""Datos Personales: La frontera de su protección""",No disponible,11/2/2013,11/2/2013
2013.N.0033,No disponible,No disponible,29/04/13,29/04/13
2013.N.0032,Feria Nacional del Libro,No disponible,25/04/13,30/04/13
2013.N.0031,Verificación del expediente IFAI.3S.07.02-006/2013,No disponible,22/04/13,24/04/13
2013.N.0030,Verificación del expediente IFAI.3S.07.02-006/2013,No disponible,22/04/13,24/04/13
2013.N.0034,Seguimiento a averiguación previa,No aplica,8/5/2013,9/5/2013
2013.N.0035,La Transparencia que viene; la tercera generación de reformas,No disponible,13/05/13,13/05/13
2013.N.0036,No disponible,No disponible,8/5/2013,9/5/2013
2013.N.0037,Foro de Aná­lisis Nacional: La Reforma Constitucional en Materia de Transparencia y Acceso a la Información Publica en México,No disponible,24/05/13,24/05/13
2013.I.0018,III Foro Anual Latinoamericano de Telecomunicaciones; Tecnologáða y Poláðticas Publicas de Internet,No disponible,15/05/13,18/05/13
2013.N.0038,Capacitación,No disponible,30/05/13,31/05/13
2013.N.0039,XIV Asamblea Plenaria de la COMAIP,No disponible,12/6/2013,12/6/2013
2013.N.0040,L Reunión Nacional de Contralores Estado Federación,No disponible,5/6/2013,7/6/2013
2013.N.0041,Foro de Aná­lisis Nacional: La Reforma Constitucional en Materia de Transparencia y Acceso a la Información Publica en México,No disponible,12/6/2013,12/6/2013
2013.N.0042,VII Foro de Aná­lisis Nacional sobre la Reforma Constitucional en materia de Transparencia y Acceso a la Información Publica en México,No disponible,3/5/2013,3/5/2013
2013.N.0043,Aniversario de la Ley de Protección de Datos Personales del Estado de Tlaxcala,No disponible,16/05/13,16/05/13
2013.N.0044,Comunicación Social de la COMAIP,No disponible,14/06/13,14/06/13
2013.N.0045,Notificación de oficios,No disponible,27/05/13,28/05/13
2013.I.0019,Taller de Alto Nivel sobre el  Acceso Equitativo a la Informacion Publica,No disponible,9/5/2013,10/5/2013
2013.N.0046,Feria Nacional del Libro,No disponible,1/5/2013,5/5/2013
2013.N.0047,"4to Foro de Aná­lisis Nacional ""La reforma Constitucional en Materia de Transparencia y Acceso a la Información Pública en México""",No disponible,22/03/13,22/03/13
2013.N.0024,X ANIVERSARIO DE LA CREACION Y ENTRADA EN FUNCIONES DE LA COMISION ESTATAL DE INFORMACION GUBERNAMENTAL DEL ESTADO DE QUERETARO,No disponible,8/4/2013,8/4/2013
2013.I.0007,Cumbre Global de Privacidad 2013 de la Asociación Internacional de Profesionales de Privacidad,No disponible,6/3/2013,10/3/2013